03/24/21 8:35:06: style.scss - parse error: failed at `background-image: url('<?php echo get_field('background_image')['url']; ?>')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/24/21 8:35:09: style.scss - parse error: failed at `background-image: url('<?php echo get_field('background_image')['url']; ?>')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/24/21 8:35:12: style.scss - parse error: failed at `background-image: url('<?php echo get_field('background_image')['url']; ?>')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/24/21 8:35:17: style.scss - parse error: failed at `background-image: url('<?php echo get_field('background_image')['url']; ?>')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/24/21 8:35:20: style.scss - parse error: failed at `background-image: url('<?php echo get_field('background_image')['url']; ?>')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/24/21 8:36:20: style.scss - parse error: failed at `background-image: url('http://managed-it-solutions.local/wp-content/uploads/2021/03/rectangle-1.png')` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 25, at column 5
03/25/21 12:26:19: style.scss - parse error: failed at `max-width:` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 59, at column 7
03/25/21 9:37:25: style.scss - parse error: failed at `src: url(//cloud.typenetwork.com/projects/5441/fontface.css/);` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_utilities.scss on line 13, at column 3
03/25/21 11:09:26: style.scss - parse error: failed at `disp` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 20, at column 9
03/25/21 11:47:45: style.scss - parse error: failed at `#` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 36, at column 1
03/26/21 4:41:02: style.scss - parse error: failed at `&__` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 55, at column 5
03/28/21 9:07:29: style.scss - parse error: failed at `width: ` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 69, at column 9
03/28/21 9:23:36: style.scss - parse error: failed at `padding: ` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 78, at column 9
03/28/21 10:32:15: style.scss - parse error: failed at `top:` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_page.scss on line 107, at column 17
03/31/21 7:21:41: style.scss - parse error: failed at `> span: nth-child(2) {` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 35, at column 7
04/02/21 2:13:24: style.scss - parse error: failed at `align` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_header.scss on line 81, at column 5
04/02/21 3:29:49: style.scss - parse error: failed at `border:` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_hero.scss on line 6, at column 9
04/02/21 4:34:20: style.scss - parse error: failed at `width: ` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_hero.scss on line 59, at column 13
04/02/21 5:10:43: style.scss - parse error: failed at `top: ;` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_hero.scss on line 40, at column 9
04/02/21 5:22:49: style.scss - parse error: failed at `min-` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_partners.scss on line 20, at column 13
04/03/21 10:58:56: style.scss - parse error: failed at `min-w` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_partners.scss on line 39, at column 13
04/06/21 2:49:15: style.scss - parse error: failed at `$blue;` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 39, at column 13
04/06/21 2:55:18: style.scss - parse error: failed at `background-` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 41, at column 13
04/06/21 2:57:19: style.scss - parse error: failed at `background: ` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 41, at column 13
04/06/21 3:39:59: style.scss - parse error: failed at `background-b` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 42, at column 13
04/06/21 4:16:25: style.scss - parse error: failed at `padding: 8px` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 42, at column 13
04/06/21 4:30:36: style.scss - parse error: failed at `max-width: ` /Users/rachelpadworski/Local Sites/managed-it-solutions/app/public/wp-content/themes/WordPress Theme/scss/_services.scss on line 27, at column 9
